canonical_security_id,stock_code,name_cn,name_en,shanghai_connect,shenzhen_connect,eligibility_status
HKEX:00291,00291,华润啤酒,CHINA RES BEER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00293,00293,国泰航空,CATHAY PAC AIR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00297,00297,中化化肥,SINOFERT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00300,00300,美的集团,MIDEA GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00303,00303,,VTECH HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00308,00308,香港中旅,CHINA TRAVEL HK,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00316,00316,东方海外国际,OOIL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00317,00317,中船防务,COMEC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00322,00322,康师傅控股,TINGYI,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00323,00323,马鞍山钢铁股份,MAANSHAN IRON,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00325,00325,布鲁可,BLOKS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00336,00336,华宝国际,HUABAO INTL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00338,00338,上海石油化工股份,SHANGHAI PECHEM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00345,00345,,VITASOY INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00347,00347,鞍钢股份,ANGANG STEEL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00354,00354,中国软件国际,CHINASOFT INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00358,00358,江西铜业股份,JIANGXI COPPER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00363,00363,上海实业控股,SHANGHAI IND H,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00371,00371,北控水务集团,BJ ENT WATER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00384,00384,中国燃气,CHINA GAS HOLD,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00386,00386,中国石油化工股份,SINOPEC CORP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00388,00388,香港交易所,HKEX,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00390,00390,中国中铁,CHINA RAILWAY,True,True,BUY_AND_SELL_ELIGIBLE
