metric_id,sector_profile,quality_state,row_count,group_total,row_ratio,authority,trade_authority
VAL_FCF_YIELD_TTM,GENERAL_NON_FINANCIAL,CONTROLLED_CAPITALIZATION_QUARANTINE,5,5104,0.0009796238244514106,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_FCF_YIELD_TTM,GENERAL_NON_FINANCIAL,MISSING_REQUIRED_INPUT,24,5104,0.004702194357366771,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_FCF_YIELD_TTM,GENERAL_NON_FINANCIAL,VALID,2679,5104,0.5248824451410659,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_FCF_YIELD_TTM,GENERAL_NON_FINANCIAL,VALID_WITH_WARNING,2396,5104,0.46943573667711597,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_FCF_YIELD_TTM,INSURANCE,NOT_APPLICABLE_SECTOR,5,5,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_FCF_YIELD_TTM,SECURITIES_AND_BROKERAGE,NOT_APPLICABLE_SECTOR,50,50,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_FCF_YIELD_TTM,UNRESOLVED,SECTOR_PROFILE_UNRESOLVED,350,350,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,BANK,VALID,38,42,0.9047619047619048,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,BANK,VALID_WITH_WARNING,4,42,0.09523809523809523,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,GENERAL_NON_FINANCIAL,CONTROLLED_CAPITALIZATION_QUARANTINE,5,5104,0.0009796238244514106,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,GENERAL_NON_FINANCIAL,NON_POSITIVE_BOOK_EQUITY,39,5104,0.007641065830721003,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,GENERAL_NON_FINANCIAL,VALID,5026,5104,0.984717868338558,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,GENERAL_NON_FINANCIAL,VALID_WITH_WARNING,34,5104,0.0066614420062695925,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,INSURANCE,VALID,4,5,0.8,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,INSURANCE,VALID_WITH_WARNING,1,5,0.2,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,SECURITIES_AND_BROKERAGE,VALID,49,50,0.98,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,SECURITIES_AND_BROKERAGE,VALID_WITH_WARNING,1,50,0.02,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PB,UNRESOLVED,SECTOR_PROFILE_UNRESOLVED,350,350,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,BANK,VALID,37,42,0.8809523809523809,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,BANK,VALID_WITH_WARNING,5,42,0.11904761904761904,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,GENERAL_NON_FINANCIAL,CONTROLLED_CAPITALIZATION_QUARANTINE,5,5104,0.0009796238244514106,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,GENERAL_NON_FINANCIAL,MISSING_REQUIRED_INPUT,24,5104,0.004702194357366771,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
