transition_id,security_id,stock_code_5d,official_security_name_en,research_id,source_research_decision,target_route,case_types,cross_market_duplication_review_required,state_meaning,trade_authority
FMDL5G-00002-6b84b46cf914,HKEX:00002,00002,CLP HOLDINGS,HK-RESEARCH-00002-0fd1d517c01d,GRADUATED,HK_CANDIDATE_REENTRY_REVIEW,CORPORATE_ACTION|HIGH_DIVIDEND,False,RESEARCH_CASE_READY_FOR_HK_CANDIDATE_REENTRY_REVIEW_ONLY_NOT_CANDIDATE_ADMISSION,NONE
FMDL5G-00300-98929d5e5b3c,HKEX:00300,00300,MIDEA GROUP,HK-RESEARCH-00300-d8d08f515e36,GRADUATED,HK_CANDIDATE_REENTRY_REVIEW,A_H|CORPORATE_ACTION|HIGH_DIVIDEND,True,RESEARCH_CASE_READY_FOR_HK_CANDIDATE_REENTRY_REVIEW_ONLY_NOT_CANDIDATE_ADMISSION,NONE
FMDL5G-00941-4b38a11c2329,HKEX:00941,00941,CHINA MOBILE,HK-RESEARCH-00941-fa17f51cc715,GRADUATED,HK_CANDIDATE_REENTRY_REVIEW,CORPORATE_ACTION|HIGH_DIVIDEND|WVR_OR_INTERNET,False,RESEARCH_CASE_READY_FOR_HK_CANDIDATE_REENTRY_REVIEW_ONLY_NOT_CANDIDATE_ADMISSION,NONE
FMDL5G-02388-b898359cb9e5,HKEX:02388,02388,BOC HONG KONG,HK-RESEARCH-02388-8911262bfa2a,GRADUATED,HK_CANDIDATE_REENTRY_REVIEW,CORPORATE_ACTION|HIGH_DIVIDEND,False,RESEARCH_CASE_READY_FOR_HK_CANDIDATE_REENTRY_REVIEW_ONLY_NOT_CANDIDATE_ADMISSION,NONE
