transition_id,security_id,stock_code_5d,official_security_name_en,research_id,case_type,review_state,admission_state,trade_authority
FMDL5G-00300-98929d5e5b3c,HKEX:00300,00300,MIDEA GROUP,HK-RESEARCH-00300-d8d08f515e36,A_H,CROSS_MARKET_DUPLICATION_REVIEW_REQUIRED,NO_AUTOMATIC_MARKET_SELECTION_OR_DUPLICATE_EXPOSURE,NONE
FMDL5G-02359-e366dd71b394,HKEX:02359,02359,WUXI APPTEC,HK-RESEARCH-02359-ddd4f1d6285d,A_H,CROSS_MARKET_DUPLICATION_REVIEW_REQUIRED,NO_AUTOMATIC_MARKET_SELECTION_OR_DUPLICATE_EXPOSURE,NONE
