security_id,security_code,security_name,historical_core20,historical_lifecycle_state,workplan_lane,strategy_sleeve,core20_review_disposition,proposed_candidate_route,proposed_lifecycle_state,research_id,research_lifecycle_state,research_decision_grade,thesis_id,thesis_status,valuation_id,valuation_status,entry_baseline_id,entry_baseline_status,portfolio_role,benchmark,research_gap_count,ready_for_user_decision,buy_signal,real_account_permission,simulation_admission_permission,candidate_state_change_requires_human_merge,trade_authority,semantic_hash
001286.SZ,001286,陕西能源,False,NONE,B_STRUCTURED_RESEARCH,DEFENSIVE_INFRA_YIELD,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-001286.SZ,TRIAGE,False,WP3-5-TH-001286.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-001286.SZ,DRAFT,WP3-5-ENTRY-001286.SZ,MISSING,,,5,False,NO,False,False,True,NONE,1447f3fb8fbd2575ad3751aa3079cd4f51e9bdd84cccaef7836f9872b149f13b
001316.SZ,001316,润贝航科,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-001316.SZ,IDEA,False,WP3-5-TH-001316.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-001316.SZ,DRAFT,WP3-5-ENTRY-001316.SZ,MISSING,,,5,False,NO,False,False,True,NONE,4287ca50c512b18dce1595d3144a207ec466902111199792f966035a81696d2d
002033.SZ,002033,丽江股份,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-002033.SZ,IDEA,False,WP3-5-TH-002033.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002033.SZ,DRAFT,WP3-5-ENTRY-002033.SZ,MISSING,,,5,False,NO,False,False,True,NONE,357eb117a4c947ce13f8de9170dff0e9537a0e7f166142393991c897b39d6b5c
002039.SZ,002039,黔源电力,False,NONE,B_STRUCTURED_RESEARCH,DEFENSIVE_INFRA_YIELD,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-002039.SZ,TRIAGE,False,WP3-5-TH-002039.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002039.SZ,DRAFT,WP3-5-ENTRY-002039.SZ,MISSING,,,5,False,NO,False,False,True,NONE,5f7056eceb8e04176eaf594e3e796826d657d7ac1098a46b4ec013ada2028f19
002128.SZ,002128,电投能源,False,NONE,A_DEEP_DIVE,RESOURCE_CYCLE,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002128.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002128.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002128.SZ,DRAFT,WP3-5-ENTRY-002128.SZ,MISSING,,,5,False,NO,False,False,True,NONE,e752cc21587997f71d00b1baa12dfc17ff51470d9ecff47dfbeaefa7fb6687e9
002170.SZ,002170,芭田股份,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002170.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002170.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002170.SZ,DRAFT,WP3-5-ENTRY-002170.SZ,MISSING,,,5,False,NO,False,False,True,NONE,d4bff7f228f5440ab2f1076ae75d261d708220fc62e31dcacfb651429f90dbc9
002371.SZ,002371,北方华创,True,CANDIDATE_CORE,CORE20_MANDATORY_REVIEW,QUALITY_GROWTH,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,WP3-5-RSCH-002371.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002371.SZ,DRAFT_SOURCE_BACKED,WP3-5-VAL-002371.SZ,RESEARCH_GRADE,WP3-5-ENTRY-002371.SZ,MISSING,半导体设备国产替代,中证半导体产业指数,5,False,NO,False,False,True,NONE,a1af28fd3856accb90a6ff31d6374712e2ca6bb5867478c4ef7778529bd7a674
002475.SZ,002475,立讯精密,True,CANDIDATE_CORE,CORE20_MANDATORY_REVIEW,QUALITY_GROWTH,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,WP3-5-RSCH-002475.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002475.SZ,DRAFT_SOURCE_BACKED,WP3-5-VAL-002475.SZ,RESEARCH_GRADE,WP3-5-ENTRY-002475.SZ,MISSING,消费电子/汽车连接平台,中证电子指数,5,False,NO,False,False,True,NONE,10f12364edfc8c4e67cbf03300f4824b1a05db1c5f37dec997db959e5ceaa748
002517.SZ,002517,恺英网络,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-002517.SZ,TRIAGE,False,WP3-5-TH-002517.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002517.SZ,DRAFT,WP3-5-ENTRY-002517.SZ,MISSING,,,5,False,NO,False,False,True,NONE,472afa59e8544d50b0af740aaf50aa3c16671e1c577fc32f33678a8f1487ea33
002555.SZ,002555,三七互娱,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002555.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002555.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002555.SZ,DRAFT,WP3-5-ENTRY-002555.SZ,MISSING,,,5,False,NO,False,False,True,NONE,ebe78cc1cb85b1a8752e14f7ca89eaa770e4e9d894401010e08b5ead96880ba1
