board,statement_status,symbol_count
BSE,QUARANTINED,339
CHINEXT,QUARANTINED,3
CHINEXT,SUPPORTED,1399
SH_MAIN,QUARANTINED,2
SH_MAIN,SUPPORTED,1698
STAR,QUARANTINED,4
STAR,SUPPORTED,611
SZ_MAIN,QUARANTINED,1
SZ_MAIN,SUPPORTED,1494
