factor_id,quality_state,symbol_count
FIN_FCF_MARGIN_TTM,VALID_WITH_WARNING,380
FIN_GOODWILL_TO_EQUITY,INVALID_DENOMINATOR,18
FIN_GOODWILL_TO_EQUITY,MISSING_REQUIRED_INPUT,2510
FIN_GOODWILL_TO_EQUITY,NOT_APPLICABLE_SECTOR,97
FIN_GOODWILL_TO_EQUITY,QUARANTINED_INPUT,350
FIN_GOODWILL_TO_EQUITY,SECTOR_PROFILE_UNRESOLVED,1
FIN_GOODWILL_TO_EQUITY,VALID,2555
FIN_GOODWILL_TO_EQUITY,VALID_WITH_WARNING,20
FIN_GROSS_MARGIN_TTM,INVALID_DENOMINATOR,3
FIN_GROSS_MARGIN_TTM,MISSING_REQUIRED_INPUT,94
FIN_GROSS_MARGIN_TTM,NOT_APPLICABLE_SECTOR,97
FIN_GROSS_MARGIN_TTM,QUARANTINED_INPUT,351
FIN_GROSS_MARGIN_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_GROSS_MARGIN_TTM,VALID,4616
FIN_GROSS_MARGIN_TTM,VALID_WITH_WARNING,389
FIN_GROSS_MARGIN_YOY_DELTA,INVALID_DENOMINATOR,6
FIN_GROSS_MARGIN_YOY_DELTA,MISSING_REQUIRED_INPUT,191
FIN_GROSS_MARGIN_YOY_DELTA,NOT_APPLICABLE_SECTOR,97
FIN_GROSS_MARGIN_YOY_DELTA,QUARANTINED_INPUT,359
FIN_GROSS_MARGIN_YOY_DELTA,SECTOR_PROFILE_UNRESOLVED,1
FIN_GROSS_MARGIN_YOY_DELTA,VALID,4259
FIN_GROSS_MARGIN_YOY_DELTA,VALID_WITH_WARNING,638
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,INVALID_DENOMINATOR,6
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,MISSING_REQUIRED_INPUT,4471
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,NOT_APPLICABLE_SECTOR,97
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,QUARANTINED_INPUT,350
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,SECTOR_PROFILE_UNRESOLVED,1
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,VALID,618
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,VALID_WITH_WARNING,8
FIN_INVENTORY_TO_REVENUE_TTM,INVALID_DENOMINATOR,3
FIN_INVENTORY_TO_REVENUE_TTM,MISSING_REQUIRED_INPUT,144
FIN_INVENTORY_TO_REVENUE_TTM,NOT_APPLICABLE_SECTOR,97
FIN_INVENTORY_TO_REVENUE_TTM,QUARANTINED_INPUT,351
FIN_INVENTORY_TO_REVENUE_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_INVENTORY_TO_REVENUE_TTM,VALID,4572
FIN_INVENTORY_TO_REVENUE_TTM,VALID_WITH_WARNING,383
FIN_LIABILITIES_TO_ASSETS,NOT_APPLICABLE_SECTOR,97
FIN_LIABILITIES_TO_ASSETS,QUARANTINED_INPUT,350
FIN_LIABILITIES_TO_ASSETS,SECTOR_PROFILE_UNRESOLVED,1
FIN_LIABILITIES_TO_ASSETS,VALID,5069
FIN_LIABILITIES_TO_ASSETS,VALID_WITH_WARNING,34
FIN_NET_DEBT_TO_EQUITY,INVALID_DENOMINATOR,6
FIN_NET_DEBT_TO_EQUITY,MISSING_REQUIRED_INPUT,4471
FIN_NET_DEBT_TO_EQUITY,NOT_APPLICABLE_SECTOR,97
FIN_NET_DEBT_TO_EQUITY,QUARANTINED_INPUT,350
FIN_NET_DEBT_TO_EQUITY,SECTOR_PROFILE_UNRESOLVED,1
FIN_NET_DEBT_TO_EQUITY,VALID,618
FIN_NET_DEBT_TO_EQUITY,VALID_WITH_WARNING,8
FIN_NET_MARGIN_PARENT_TTM,INVALID_DENOMINATOR,3
FIN_NET_MARGIN_PARENT_TTM,MISSING_REQUIRED_INPUT,91
FIN_NET_MARGIN_PARENT_TTM,NOT_APPLICABLE_SECTOR,97
FIN_NET_MARGIN_PARENT_TTM,QUARANTINED_INPUT,351
FIN_NET_MARGIN_PARENT_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_NET_MARGIN_PARENT_TTM,VALID,4619
FIN_NET_MARGIN_PARENT_TTM,VALID_WITH_WARNING,389
FIN_OPERATING_MARGIN_TTM,INVALID_DENOMINATOR,3
FIN_OPERATING_MARGIN_TTM,MISSING_REQUIRED_INPUT,91
FIN_OPERATING_MARGIN_TTM,NOT_APPLICABLE_SECTOR,97
FIN_OPERATING_MARGIN_TTM,QUARANTINED_INPUT,351
FIN_OPERATING_MARGIN_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_OPERATING_MARGIN_TTM,VALID,4619
FIN_OPERATING_MARGIN_TTM,VALID_WITH_WARNING,389
FIN_OPERATING_MARGIN_YOY_DELTA,INVALID_DENOMINATOR,6
FIN_OPERATING_MARGIN_YOY_DELTA,MISSING_REQUIRED_INPUT,188
FIN_OPERATING_MARGIN_YOY_DELTA,NOT_APPLICABLE_SECTOR,97
FIN_OPERATING_MARGIN_YOY_DELTA,QUARANTINED_INPUT,359
FIN_OPERATING_MARGIN_YOY_DELTA,SECTOR_PROFILE_UNRESOLVED,1
FIN_OPERATING_MARGIN_YOY_DELTA,VALID,4262
FIN_OPERATING_MARGIN_YOY_DELTA,VALID_WITH_WARNING,638
FIN_PARENT_NI_CAGR_3Y,MISSING_REQUIRED_INPUT,5198
FIN_PARENT_NI_CAGR_3Y,QUARANTINED_INPUT,352
FIN_PARENT_NI_CAGR_3Y,SECTOR_PROFILE_UNRESOLVED,1
FIN_PARENT_NI_YOY,INVALID_SIGN_TRANSITION,1873
FIN_PARENT_NI_YOY,MISSING_REQUIRED_INPUT,187
FIN_PARENT_NI_YOY,QUARANTINED_INPUT,360
FIN_PARENT_NI_YOY,SECTOR_PROFILE_UNRESOLVED,1
FIN_PARENT_NI_YOY,VALID,2814
FIN_PARENT_NI_YOY,VALID_WITH_WARNING,316
FIN_PPNE_TO_ASSETS,NOT_APPLICABLE_SECTOR,97
FIN_PPNE_TO_ASSETS,QUARANTINED_INPUT,350
FIN_PPNE_TO_ASSETS,SECTOR_PROFILE_UNRESOLVED,1
FIN_PPNE_TO_ASSETS,VALID,5069
FIN_PPNE_TO_ASSETS,VALID_WITH_WARNING,34
FIN_RECEIVABLES_TO_REVENUE_TTM,INVALID_DENOMINATOR,3
FIN_RECEIVABLES_TO_REVENUE_TTM,MISSING_REQUIRED_INPUT,97
FIN_RECEIVABLES_TO_REVENUE_TTM,NOT_APPLICABLE_SECTOR,97
FIN_RECEIVABLES_TO_REVENUE_TTM,QUARANTINED_INPUT,351
FIN_RECEIVABLES_TO_REVENUE_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_RECEIVABLES_TO_REVENUE_TTM,VALID,4614
FIN_RECEIVABLES_TO_REVENUE_TTM,VALID_WITH_WARNING,388
FIN_REVENUE_CAGR_3Y,MISSING_REQUIRED_INPUT,5102
