transition_id,security_id,stock_code_5d,official_security_name_en,research_id,source_research_decision,target_route,case_types,cross_market_duplication_review_required,state_meaning,trade_authority
FMDL5G-02359-e366dd71b394,HKEX:02359,02359,WUXI APPTEC,HK-RESEARCH-02359-ddd4f1d6285d,SHADOW_TRACK,HK_SHADOW_TRACK_REVIEW,A_H|CORPORATE_ACTION,True,HK_SHADOW_TRACK_MONITORING_ONLY_NOT_CANDIDATE_ADMISSION,NONE
FMDL5G-09999-d2f26997e035,HKEX:09999,09999,NTES,HK-RESEARCH-09999-0bcd8c3d119a,SHADOW_TRACK,HK_SHADOW_TRACK_REVIEW,CORPORATE_ACTION|WVR_OR_INTERNET,False,HK_SHADOW_TRACK_MONITORING_ONLY_NOT_CANDIDATE_ADMISSION,NONE
