as_of_date,overall_rank,research_priority,security_id,stock_code_5d,official_security_name_en,primary_sleeve,active_research_cohort,research_stage,research_decision,decision_reason,candidate_pool_admission,simulation_admission,real_account_admission,order_generation,trade_authority
2026-07-21,31,B_WATCH_OR_TRIGGER,HKEX:01836,01836,STELLA HOLDINGS,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,32,B_WATCH_OR_TRIGGER,HKEX:02378,02378,PRU,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,33,B_WATCH_OR_TRIGGER,HKEX:06990,06990,SKB BIO,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,34,B_WATCH_OR_TRIGGER,HKEX:06066,06066,CSC,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,35,B_WATCH_OR_TRIGGER,HKEX:02356,02356,DAHSING BANKING,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,36,B_WATCH_OR_TRIGGER,HKEX:01883,01883,CITIC TELECOM,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,37,B_WATCH_OR_TRIGGER,HKEX:03998,03998,BOSIDENG,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,38,B_WATCH_OR_TRIGGER,HKEX:00363,00363,SHANGHAI IND H,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,39,B_WATCH_OR_TRIGGER,HKEX:02269,02269,WUXI BIO,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,40,B_WATCH_OR_TRIGGER,HKEX:06181,06181,LAOPU GOLD,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,41,B_WATCH_OR_TRIGGER,HKEX:01114,01114,BRILLIANCE CHI,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,42,B_WATCH_OR_TRIGGER,HKEX:00008,00008,PCCW,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,43,B_WATCH_OR_TRIGGER,HKEX:01398,01398,ICBC,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,44,B_WATCH_OR_TRIGGER,HKEX:03968,03968,CM BANK,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,45,B_WATCH_OR_TRIGGER,HKEX:03988,03988,BANK OF CHINA,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,46,B_WATCH_OR_TRIGGER,HKEX:01038,01038,CKI HOLDINGS,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,47,B_WATCH_OR_TRIGGER,HKEX:03939,03939,WANGUO GOLD GP,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,48,B_WATCH_OR_TRIGGER,HKEX:01999,01999,MAN WAH HLDGS,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,49,B_WATCH_OR_TRIGGER,HKEX:00788,00788,CHINA TOWER,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,50,B_WATCH_OR_TRIGGER,HKEX:06127,06127,JOINN,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,51,B_WATCH_OR_TRIGGER,HKEX:02666,02666,UNI MEDICAL,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,52,B_WATCH_OR_TRIGGER,HKEX:01368,01368,XTEP INT'L,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,53,B_WATCH_OR_TRIGGER,HKEX:01070,01070,TCL ELECTRONICS,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,54,B_WATCH_OR_TRIGGER,HKEX:00019,00019,SWIRE PACIFIC A,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,55,B_WATCH_OR_TRIGGER,HKEX:00293,00293,CATHAY PAC AIR,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,56,B_WATCH_OR_TRIGGER,HKEX:02400,02400,XD INC,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,57,B_WATCH_OR_TRIGGER,HKEX:03877,03877,CSSC SHIPPING,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,58,B_WATCH_OR_TRIGGER,HKEX:00066,00066,MTR CORPORATION,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,59,B_WATCH_OR_TRIGGER,HKEX:00992,00992,LENOVO GROUP,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,60,B_WATCH_OR_TRIGGER,HKEX:02145,02145,CHICMAX,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,61,C_SCREEN_FLAG_ONLY,HKEX:03759,03759,PHARMARON,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,62,C_SCREEN_FLAG_ONLY,HKEX:09696,09696,TIANQI LITHIUM,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,63,C_SCREEN_FLAG_ONLY,HKEX:01112,01112,H&H INTL HLDG,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,64,C_SCREEN_FLAG_ONLY,HKEX:00659,00659,CTF SERVICES,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,65,C_SCREEN_FLAG_ONLY,HKEX:01109,01109,CHINA RES LAND,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,66,C_SCREEN_FLAG_ONLY,HKEX:01681,01681,CONSUN PHARMA,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,67,C_SCREEN_FLAG_ONLY,HKEX:01997,01997,WHARF REIC,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,68,C_SCREEN_FLAG_ONLY,HKEX:00902,00902,HUANENG POWER,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,69,C_SCREEN_FLAG_ONLY,HKEX:00917,00917,QUNABOX GROUP,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,70,C_SCREEN_FLAG_ONLY,HKEX:00288,00288,WH GROUP,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,71,C_SCREEN_FLAG_ONLY,HKEX:00316,00316,OOIL,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,72,C_SCREEN_FLAG_ONLY,HKEX:01186,01186,CHINA RAIL CONS,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,73,C_SCREEN_FLAG_ONLY,HKEX:01318,01318,MAO GEPING,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,74,C_SCREEN_FLAG_ONLY,HKEX:00152,00152,SHENZHEN INT'L,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,75,C_SCREEN_FLAG_ONLY,HKEX:00939,00939,CCB,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,76,C_SCREEN_FLAG_ONLY,HKEX:00386,00386,SINOPEC CORP,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,77,C_SCREEN_FLAG_ONLY,HKEX:02099,02099,CHINAGOLDINTL,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,78,C_SCREEN_FLAG_ONLY,HKEX:03328,03328,BANKCOMM,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,79,C_SCREEN_FLAG_ONLY,HKEX:01208,01208,MMG,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,80,C_SCREEN_FLAG_ONLY,HKEX:01773,01773,TIANLI INT HLDG,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,81,C_SCREEN_FLAG_ONLY,HKEX:00308,00308,CHINA TRAVEL HK,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,82,C_SCREEN_FLAG_ONLY,HKEX:01364,01364,GUMING,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,83,C_SCREEN_FLAG_ONLY,HKEX:00762,00762,CHINA UNICOM,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,84,C_SCREEN_FLAG_ONLY,HKEX:01801,01801,INNOVENT BIO,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,85,C_SCREEN_FLAG_ONLY,HKEX:06160,06160,BEONE MEDICINES,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,86,C_SCREEN_FLAG_ONLY,HKEX:09911,09911,NEWBORNTOWN,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,87,C_SCREEN_FLAG_ONLY,HKEX:02799,02799,CITIC FAMC,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,88,C_SCREEN_FLAG_ONLY,HKEX:06098,06098,CG SERVICES,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,89,C_SCREEN_FLAG_ONLY,HKEX:02157,02157,LEPU BIO,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,90,C_SCREEN_FLAG_ONLY,HKEX:02314,02314,LEE & MAN PAPER,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,91,C_SCREEN_FLAG_ONLY,HKEX:01088,01088,CHINA SHENHUA,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,92,C_SCREEN_FLAG_ONLY,HKEX:02607,02607,SH PHARMA,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,93,C_SCREEN_FLAG_ONLY,HKEX:03311,03311,CHINA STATE CON,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,94,C_SCREEN_FLAG_ONLY,HKEX:01347,01347,HUA HONG GRACE,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,95,C_SCREEN_FLAG_ONLY,HKEX:02232,02232,CRYSTAL INTL,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,96,C_SCREEN_FLAG_ONLY,HKEX:00836,00836,CHINA RES POWER,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,97,C_SCREEN_FLAG_ONLY,HKEX:00013,00013,HUTCHMED,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,98,C_SCREEN_FLAG_ONLY,HKEX:00392,00392,BEIJING ENT,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,99,C_SCREEN_FLAG_ONLY,HKEX:01083,01083,TG SMART ENERGY,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,100,C_SCREEN_FLAG_ONLY,HKEX:02688,02688,ENN ENERGY,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
