security_id,stock_code_5d,review_type,evidence_status,detail
HKEX:00699,00699,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00719,00719,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00728,00728,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00753,00753,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00763,00763,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00811,00811,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00857,00857,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00874,00874,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00895,00895,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00914,00914,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00921,00921,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00939,00939,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00956,00956,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00991,00991,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:00998,00998,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01053,01053,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
