security_id,issuer_id,stock_code_5d,mapping_status,mapping_basis
HKEX:00189,HKEX-ISSUER:2a2ef41cf2bbaf16,00189,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00200,HKEX-ISSUER:ca7e7c670282ff6d,00200,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00220,HKEX-ISSUER:cfc629e8c966e496,00220,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00241,HKEX-ISSUER:b1a286983e511309,00241,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00257,HKEX-ISSUER:346ea05397749c40,00257,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00267,HKEX-ISSUER:80d80c5c08464f8e,00267,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00268,HKEX-ISSUER:18b34bff85ce6389,00268,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00270,HKEX-ISSUER:66917b4d9e679a52,00270,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00285,HKEX-ISSUER:094beb8dd7587d82,00285,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00288,HKEX-ISSUER:711cc3474a7b0b89,00288,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00290,HKEX-ISSUER:d9743d6ecd07950b,00290,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00291,HKEX-ISSUER:7a15ba46a6ed1e14,00291,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00293,HKEX-ISSUER:dc28ab500fb3849b,00293,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00297,HKEX-ISSUER:cbf9fa9dcd8c6d14,00297,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00300,HKEX-ISSUER:b56e211b2a77b3bb,00300,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00303,HKEX-ISSUER:550096026471e1ac,00303,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00308,HKEX-ISSUER:74975e2573f21a4c,00308,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00316,HKEX-ISSUER:2c90aae1b3b28d74,00316,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00317,HKEX-ISSUER:fce17d54c1b97800,00317,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00322,HKEX-ISSUER:12d60ce5438fc9b9,00322,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00323,HKEX-ISSUER:9f37a3679eef6d58,00323,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00325,HKEX-ISSUER:056e4fe999bdd6eb,00325,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00336,HKEX-ISSUER:1b1f2ef4f019c0a7,00336,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00338,HKEX-ISSUER:d73cb3103f2e0f0d,00338,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00345,HKEX-ISSUER:9b5cdcfce06f509d,00345,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00347,HKEX-ISSUER:188f366dc053df25,00347,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00354,HKEX-ISSUER:abd4984f4bafde6e,00354,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00358,HKEX-ISSUER:484db0970594badf,00358,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00363,HKEX-ISSUER:0a1b3aac06399a29,00363,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00371,HKEX-ISSUER:4d583d8f722c2442,00371,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00384,HKEX-ISSUER:6fd72c63023e309f,00384,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00386,HKEX-ISSUER:1ba82258303c9760,00386,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00388,HKEX-ISSUER:bc05e8e11494a199,00388,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00390,HKEX-ISSUER:47af12fb311d8ee7,00390,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00392,HKEX-ISSUER:5456f55a3a799449,00392,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00425,HKEX-ISSUER:0c3b0712f86a8ae4,00425,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00440,HKEX-ISSUER:e0497bd112098552,00440,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00460,HKEX-ISSUER:78c4d41922b844e8,00460,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00467,HKEX-ISSUER:4d1fac591de26227,00467,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00470,HKEX-ISSUER:048d41cc813b72af,00470,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00501,HKEX-ISSUER:500fee9eaf401923,00501,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00506,HKEX-ISSUER:d3e7917abaef0ff9,00506,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00512,HKEX-ISSUER:dcccf1f9d21629fc,00512,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00522,HKEX-ISSUER:287b5d8ba718f3da,00522,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00525,HKEX-ISSUER:e001707894f35bc9,00525,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00537,HKEX-ISSUER:1989d7fac3f0702f,00537,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00546,HKEX-ISSUER:8bcf5299e95e685d,00546,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00548,HKEX-ISSUER:155cbc3951caf2a3,00548,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00551,HKEX-ISSUER:0dd14b154ebf5449,00551,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00552,HKEX-ISSUER:4e902f9818b2cc15,00552,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00553,HKEX-ISSUER:9fcf82791077e7ed,00553,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00564,HKEX-ISSUER:1d1c984048171adc,00564,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00568,HKEX-ISSUER:1993c95480155abb,00568,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00570,HKEX-ISSUER:962f97021223307f,00570,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00576,HKEX-ISSUER:f069397099dc41a9,00576,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00586,HKEX-ISSUER:f4064f2aecde448d,00586,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00588,HKEX-ISSUER:84702f88c3b2173b,00588,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
