as_of_date,overall_rank,research_priority,security_id,stock_code_5d,official_security_name_en,official_issuer_name_en,primary_sleeve,sleeves,sleeve_count,screening_basis,aggregate_score,normalized_primary_score,best_sleeve_score,cross_sleeve_bonus,investability_status,factor_record_quality,confidence_grade,profile,source_profile,profile_basis,profile_override_applied,latest_close,latest_quote_currency,avg_turnover_hkd_20d,return_20d,return_60d,return_120d,return_250d,volatility_60d,max_drawdown_120d,roe,roa,operating_margin,revenue_yoy,net_income_yoy,earnings_yield,pe_ratio,dividend_yield_365d,corporate_action_count_365d,a_share_class_exists,h_share_flag,wvr_flag,dual_counter_flag,secondary_listing_flag,biotech_chapter18a_flag,next_workflow,authority,trade_authority
2026-07-21,1,A_IMMEDIATE_RESEARCH,HKEX:02388,02388,BOC HONG KONG,BOC Hong Kong (Holdings) Ltd.,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|TREND_LIQUIDITY|QUALITY_COMPOUNDER|HIGH_DIVIDEND_VALUE|RECOVERY_WATCH,5,FORMAL_SLEEVE_ONLY,1.2744438730118528,0.9875,0.9077754920474111,0.06,ELIGIBLE_CORE,VALID,A,BANK,BANK,OFFICIAL_NAME_BANK,False,46.84000015258789,HKD,644886697.7644122,0.01190778363407241,0.0941580093971146,0.2333638154687061,0.32422389333412704,0.21933600657356292,-0.11119316244906496,0.11038173189352775,0.00893601487279303,,,0.023521975474255274,0.0731735466019343,13.666140927130701,0.04536720736715443,4,False,False,False,True,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,2,A_IMMEDIATE_RESEARCH,HKEX:00440,00440,DAH SING,Dah Sing Financial Holdings Ltd.,HIGH_DIVIDEND_VALUE,HIGH_DIVIDEND_VALUE|QUALITY_COMPOUNDER|TREND_LIQUIDITY|DEFENSIVE_STABILITY|RECOVERY_WATCH,5,FORMAL_SLEEVE_ONLY,1.2676708804688566,0.9875,0.8806835218754259,0.06,ELIGIBLE_CORE,VALID,A,BANK,BANK,OFFICIAL_NAME_BANK,False,42.52000045776367,HKD,9465119.45136242,0.09984481700948455,0.06486717681053533,0.1889963708310478,0.5042626697714523,0.24486743235302819,-0.12298470984319432,0.04424750358029646,0.0076074642169231335,,,0.19908898421375865,0.13701243972908472,7.298607352568163,0.06067732766284393,2,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,3,A_IMMEDIATE_RESEARCH,HKEX:00005,00005,HSBC HOLDINGS,HSBC Holdings plc,TREND_LIQUIDITY,TREND_LIQUIDITY|DEFENSIVE_STABILITY|RECOVERY_WATCH,3,FORMAL_SLEEVE_ONLY,1.2669203791827905,1.0,0.9476815167311625,0.03,ELIGIBLE_CORE,VALID,A,BANK,BANK,OFFICIAL_NAME_BANK,False,156.10000610351562,HKD,2005622957.2090676,0.05544295162561297,0.09007840549006785,0.25578142401160253,0.694240959954556,0.2565871565778172,-0.170840758407231,0.10260324992949733,0.006526996004372364,,,-0.09964287782262748,0.05448332906764991,18.354238206669372,0.03754983837805237,4,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,4,A_IMMEDIATE_RESEARCH,HKEX:00941,00941,CHINA MOBILE,China Mobile Ltd.,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|TREND_LIQUIDITY,2,FORMAL_SLEEVE_ONLY,1.2521601167041618,1.0,0.9486404668166478,0.015,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,80.6500015258789,HKD,1201457735.9234843,0.015103897089114637,-0.0033383727601303814,0.04819141871713972,-0.009722019380899005,0.10004821699412575,-0.09581022649375714,,0.013405310772767602,0.13178805838446597,-0.011336756994972386,-0.042081551369527626,0.01686298790166302,59.30147171020507,0.06534407811894419,2,False,False,False,True,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,5,A_IMMEDIATE_RESEARCH,HKEX:02319,02319,MENGNIU DAIRY,China Mengniu Dairy Co. Ltd.,RECOVERY_WATCH,RECOVERY_WATCH|TREND_LIQUIDITY,2,FORMAL_SLEEVE_ONLY,1.2504782254402973,1.0,0.9419129017611898,0.015,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,18.459999084472656,HKD,511351250.4691113,0.16173685875531518,0.16536145285534953,0.2102680173617928,0.17106007772174636,0.31607697371883503,-0.14940581776320228,,0.01600100030713927,0.046706725218269955,-0.07251024964551922,13.787047757566478,0.021451788712876445,46.61615930422388,0.032372699330340815,1,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,6,A_IMMEDIATE_RESEARCH,HKEX:00001,00001,CKH HOLDINGS,CK Hutchison Holdings Ltd.,TREND_LIQUIDITY,TREND_LIQUIDITY|DEFENSIVE_STABILITY|RECOVERY_WATCH,3,FORMAL_SLEEVE_ONLY,1.2478796215435508,0.9888888888888889,0.9159629306186476,0.03,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,70.80000305175781,HKD,478460193.1756424,0.03357668688697535,0.12317878582433539,0.19055107725529807,0.5299824206714767,0.2846337665784007,-0.12443442909984592,,0.010245977884747676,0.06770558071105144,-0.02920126483437524,-0.32413346212263505,0.03942019321608923,25.367709247854553,0.03265536582406402,2,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,7,A_IMMEDIATE_RESEARCH,HKEX:00388,00388,HKEX,Hong Kong Exchanges and Clearing Ltd.,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|TREND_LIQUIDITY|QUALITY_COMPOUNDER|RECOVERY_WATCH,4,FORMAL_SLEEVE_ONLY,1.2443347376380833,0.975,0.8973389505523341,0.045,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,398.6000061035156,HKD,1690597937.1994462,0.055614405880711315,-0.04320691247308195,-0.05166865062726189,-0.03125416273694415,0.1960493178098733,-0.1716372095983848,0.30230380221015174,0.030569497653996816,,,0.32693455311133257,0.03183703162489258,31.40996345959983,0.03140993429074003,2,False,False,False,True,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,8,A_IMMEDIATE_RESEARCH,HKEX:02359,02359,WUXI APPTEC,"WuXi AppTec Co., Ltd.  - H Shares",RECOVERY_WATCH,RECOVERY_WATCH|TREND_LIQUIDITY|QUALITY_COMPOUNDER,3,FORMAL_SLEEVE_ONLY,1.2409800600394694,0.9833333333333333,0.9105869068245445,0.03,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,155.39999389648438,HKD,1119760039.9741874,0.17018065004048522,0.29161567274061917,0.3847665527616655,0.7891602924693706,0.5092215915597151,-0.19450977843446227,,0.04330438462948027,0.4426796974567814,0.2880682203655358,0.315375968712752,0.010231660633520595,97.7358452179147,0.014076126678982363,2,True,True,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,9,A_IMMEDIATE_RESEARCH,HKEX:02555,02555,CHABAIDAO,"Sichuan Baicha Baidao Industrial Co., Ltd.  - H Shares",HIGH_DIVIDEND_VALUE,HIGH_DIVIDEND_VALUE|QUALITY_COMPOUNDER,2,FORMAL_SLEEVE_ONLY,1.238130769818288,1.0,0.8925230792731524,0.015,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,4.789999961853027,HKD,6105783.919243813,0.008421044600637417,-0.22685254383001063,-0.23750845010917399,-0.4900606230064467,0.2658460469704137,-0.31410034926940256,,0.16665959221771964,0.1883290442307678,0.09700514254075387,0.7046257391186486,0.11419624308063486,8.756855506129849,0.0841296457639439,2,False,True,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,10,A_IMMEDIATE_RESEARCH,HKEX:01530,01530,3SBIO,3SBio Inc.,QUALITY_COMPOUNDER,QUALITY_COMPOUNDER,1,FORMAL_SLEEVE_ONLY,1.236650234064929,1.0,0.946600936259716,0.0,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,16.6200008392334,HKD,768535626.2275246,0.048192850796543896,-0.3116153664634851,-0.3253830420797763,-0.3971277581732646,0.6520002264452596,-0.3999211914834945,,0.23398854929297486,0.6174356903457435,0.942884468978735,3.0578303800375064,0.21119132507588365,4.73504297414057,0.015042117170646985,1,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,11,A_IMMEDIATE_RESEARCH,HKEX:00966,00966,CHINA TAIPING,China Taiping Insurance Holdings Co. Ltd.,QUALITY_COMPOUNDER,QUALITY_COMPOUNDER|HIGH_DIVIDEND_VALUE|TREND_LIQUIDITY,3,FORMAL_SLEEVE_ONLY,1.2264583333333332,0.9777777777777777,0.8747222222222221,0.03,ELIGIBLE_CORE,VALID,A,INSURANCE,INSURANCE,OFFICIAL_NAME_INSURANCE,False,21.059999465942383,HKD,175974585.4293359,0.08089324432973055,0.019099888265021514,-0.05626210388283248,0.4233816187972659,0.504109087570083,-0.2977396976671123,0.1642016815197801,0.013620991108214152,,,2.130180308853302,0.31098045517955747,3.2156361705194896,0.058404559885631535,1,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,12,A_IMMEDIATE_RESEARCH,HKEX:03918,03918,NAGACORP,NagaCorp Ltd.,QUALITY_COMPOUNDER,QUALITY_COMPOUNDER|HIGH_DIVIDEND_VALUE,2,FORMAL_SLEEVE_ONLY,1.2246200185652827,0.9888888888888889,0.8829245187055751,0.015,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,3.5299999713897705,HKD,11296263.292003715,-0.0011532762490261694,-0.10054105222026899,-0.18378665310086684,-0.18091049598368847,0.34044028465833437,-0.25161292355590004,,0.11191622687243281,0.4385865039250472,0.23360306934316521,1.7650404160527766,0.13958042039473878,7.164328615517575,0.04611898054376051,2,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,13,A_IMMEDIATE_RESEARCH,HKEX:00300,00300,MIDEA GROUP,"Midea Group Co., Ltd.  - H Shares",TREND_LIQUIDITY,TREND_LIQUIDITY|RECOVERY_WATCH|DEFENSIVE_STABILITY,3,FORMAL_SLEEVE_ONLY,1.223527481371938,0.9666666666666667,0.9074432588210845,0.03,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,BANK,DEFAULT_GENERAL_NON_FINANCIAL,True,95.05000305175781,HKD,718453130.9474945,0.15003026372596362,0.11360712829040254,0.14748839883364773,0.29909989760188194,0.2610886598051457,-0.1671974198183479,,0.02064658168407535,0.1221364215778321,0.02550141022420016,0.020312209568118744,0.017780115157700102,56.24260535606971,0.05170183947625995,2,True,True,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,14,A_IMMEDIATE_RESEARCH,HKEX:00270,00270,GUANGDONG INV,Guangdong Investment Ltd.,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|TREND_LIQUIDITY|RECOVERY_WATCH|HIGH_DIVIDEND_VALUE|QUALITY_COMPOUNDER,5,FORMAL_SLEEVE_ONLY,1.2179649878698549,0.9375,0.8818599514794192,0.06,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,8.199999809265137,HKD,91177011.64914267,0.06897249221114077,0.04377334532692867,0.21748390165285847,0.28327796998364696,0.177626898085363,-0.11123849596974256,,0.04576579996316139,0.4126608746241947,-0.007796634231292288,0.44535943047016247,0.07844796328814164,12.747303538359192,0.05645122082527023,2,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,15,A_IMMEDIATE_RESEARCH,HKEX:01308,01308,SITC,SITC International Holdings Co. Ltd.,TREND_LIQUIDITY,TREND_LIQUIDITY|RECOVERY_WATCH|HIGH_DIVIDEND_VALUE|QUALITY_COMPOUNDER|DEFENSIVE_STABILITY,5,FORMAL_SLEEVE_ONLY,1.217162308456097,0.9333333333333333,0.8953159004910543,0.06,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,36.13999938964844,HKD,121266170.0157651,0.12866954631431993,0.11891426430013907,0.41220554654469743,0.6712341864540876,0.32995088423585944,-0.13381860367560805,,0.3516498589532346,0.36171972070967484,0.09085538295014262,0.1627996286255744,0.089464528350991,11.177614395693876,0.08301051606711672,3,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,16,A_IMMEDIATE_RESEARCH,HKEX:00002,00002,CLP HOLDINGS,CLP Holdings Ltd.,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|TREND_LIQUIDITY|RECOVERY_WATCH,3,FORMAL_SLEEVE_ONLY,1.2150435932601882,0.9625,0.8901743730407524,0.03,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,76.4000015258789,HKD,245516034.6803646,0.05089415038450262,0.025262832421518944,0.0764978964868348,0.2191663018810519,0.12750261949606903,-0.05232559727839592,,0.04386450109786963,0.16214865141221113,-0.056230917740319186,-0.13046826437830072,0.04894411944132461,20.431463706254316,0.04188481591739324,4,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
2026-07-21,17,A_IMMEDIATE_RESEARCH,HKEX:02877,02877,SHINEWAY PHARM,China Shineway Pharmaceutical Group Ltd.,HIGH_DIVIDEND_VALUE,HIGH_DIVIDEND_VALUE|QUALITY_COMPOUNDER,2,FORMAL_SLEEVE_ONLY,1.2101557926577284,0.975,0.8806231706309146,0.015,ELIGIBLE_CORE,VALID,A,GENERAL_NON_FINANCIAL,GENERAL_NON_FINANCIAL,DEFAULT_GENERAL_NON_FINANCIAL,False,8.34000015258789,HKD,7304898.605737234,0.10026388344740944,-0.13065593738664272,-0.09199841307038592,0.08549602989645799,0.27661065982948824,-0.24857988862054314,,0.08814476203555026,0.4066285877581274,-0.1700944113129469,0.13082047301833688,0.15107913392651723,6.619047740149119,0.07278177324872695,2,False,False,False,False,False,False,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,HK_FACTOR_AND_RESEARCH_PRIORITY_SCREEN_ONLY,NONE
