previous_date,current_date,symbol,name,previous_rank,current_rank,rank_change,previous_priority,current_priority,previous_primary_sleeve,current_primary_sleeve
2026-07-10,2026-07-13,300331.SZ,苏大维格,42,67,-25,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,300458.SZ,全志科技,26,17,9,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,300522.SZ,世名科技,56,74,-18,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,300558.SZ,贝达药业,22,26,-4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,300671.SZ,富满微,100,95,5,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,300687.SZ,赛意信息,11,2,9,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,301200.SZ,大族数控,1,5,-4,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,301228.SZ,实朴检测,60,82,-22,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,301269.SZ,华大九天,67,13,54,C_SCREEN_FLAG_ONLY,A_IMMEDIATE_RESEARCH,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,301295.SZ,美硕科技,89,86,3,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,301369.SZ,联动科技,4,1,3,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,600016.SH,民生银行,72,68,4,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,600018.SH,上港集团,20,18,2,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,600036.SH,招商银行,98,94,4,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,600177.SH,雅戈尔,95,90,5,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,600206.SH,有研新材,10,43,-33,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,600584.SH,长电科技,6,7,-1,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,600641.SH,先导基电,44,69,-25,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,600900.SH,XD长江电,2,6,-4,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,600919.SH,江苏银行,39,46,-7,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601006.SH,大秦铁路,68,72,-4,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601128.SH,常熟银行,50,53,-3,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601166.SH,兴业银行,91,87,4,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601229.SH,上海银行,25,24,1,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601328.SH,交通银行,79,79,0,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601668.SH,中国建筑,64,49,15,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601818.SH,光大银行,14,9,5,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601928.SH,凤凰传媒,58,64,-6,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601939.SH,建设银行,43,83,-40,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,601985.SH,XD中国核,54,42,12,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,603065.SH,宿迁联盛,94,33,61,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,603068.SH,博通集成,52,45,7,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,603156.SH,养元饮品,31,52,-21,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,603223.SH,恒通股份,30,31,-1,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,603268.SH,松发股份,34,38,-4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,603301.SH,振德医疗,65,59,6,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,603650.SH,彤程新材,87,77,10,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,603669.SH,灵康药业,62,51,11,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,603823.SH,百合花,40,22,18,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,603928.SH,兴业股份,7,11,-4,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,603991.SH,领先股份,80,80,0,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,605389.SH,长龄液压,27,75,-48,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,688012.SH,中微公司,99,97,2,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,688120.SH,华海清科,59,19,40,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,688200.SH,华峰测控,66,12,54,C_SCREEN_FLAG_ONLY,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,TREND_PERSISTENCE
2026-07-10,2026-07-13,688361.SH,中科飞测,28,36,-8,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,688432.SH,有研硅,51,92,-41,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,688498.SH,源杰科技,45,34,11,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,688728.SH,格科微,46,70,-24,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,920015.BJ,锦华新材,73,25,48,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,920510.BJ,丰光精密,21,10,11,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,920808.BJ,曙光数创,81,20,61,C_SCREEN_FLAG_ONLY,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,000001.SZ,平安银行,61,80,-19,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,000021.SZ,深科技,29,32,-3,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,000034.SZ,神州数码,40,83,-43,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,000088.SZ,盐 田 港,39,31,8,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,000333.SZ,美的集团,76,49,27,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,000538.SZ,云南白药,15,19,-4,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,000598.SZ,兴蓉环境,28,27,1,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,000668.SZ,荣丰控股,27,51,-24,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,000779.SZ,甘咨询,81,40,41,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,000938.SZ,紫光股份,16,21,-5,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,001227.SZ,兰州银行,32,52,-20,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,002142.SZ,宁波银行,57,34,23,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,002174.SZ,游族网络,37,25,12,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,002185.SZ,华天科技,3,3,0,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,002350.SZ,北京科锐,89,66,23,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,002371.SZ,北方华创,30,26,4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,002507.SZ,涪陵榨菜,35,23,12,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,002674.SZ,兴业科技,62,50,12,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,002718.SZ,友邦吊顶,14,12,2,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,002745.SZ,木林森,99,86,13,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,002768.SZ,国恩股份,8,16,-8,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,002841.SZ,视源股份,88,68,20,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,002936.SZ,郑州银行,4,7,-3,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,002937.SZ,兴瑞科技,41,29,12,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,300201.SZ,海伦哲,56,37,19,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,300308.SZ,中际旭创,23,17,6,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,300522.SZ,世名科技,74,54,20,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,300558.SZ,贝达药业,26,8,18,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,RECOVERY_WATCH,RECOVERY_WATCH
