comparability_evidence_status,fmdl3b3_decision_grade_eligible,fact_count
CURRENT_VALID_PRE_RESTATEMENT_REPLAY_BLOCKED,True,60073
QUARANTINED_NO_CANONICAL_PERIODIC_DOCUMENT,False,722
