flag_id,severity,entity,period,area,issue,impact,recommended_fix,source_id,status
FLAG-00001,high,430047.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_INDEX_ONLY_PENDING_FMDL3B2_EXTRACTION,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
FLAG-00002,high,835185.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_INDEX_ONLY_PENDING_FMDL3B2_EXTRACTION,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
