factor_id,quality_state,symbol_count
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,NOT_APPLICABLE_SECTOR,97
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,QUARANTINED_INPUT,433
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,VALID,4581
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,VALID_WITH_WARNING,416
FIN_ASSET_TURNOVER_TTM,MISSING_REQUIRED_INPUT,2
FIN_ASSET_TURNOVER_TTM,NOT_APPLICABLE_SECTOR,97
FIN_ASSET_TURNOVER_TTM,QUARANTINED_INPUT,432
FIN_ASSET_TURNOVER_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_ASSET_TURNOVER_TTM,VALID,4580
FIN_ASSET_TURNOVER_TTM,VALID_WITH_WARNING,416
FIN_CAPEX_INTENSITY_TTM,INVALID_DENOMINATOR,1
FIN_CAPEX_INTENSITY_TTM,MISSING_REQUIRED_INPUT,71
FIN_CAPEX_INTENSITY_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CAPEX_INTENSITY_TTM,QUARANTINED_INPUT,433
FIN_CAPEX_INTENSITY_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CAPEX_INTENSITY_TTM,VALID,4524
FIN_CAPEX_INTENSITY_TTM,VALID_WITH_WARNING,401
FIN_CASH_TO_SHORT_DEBT,INVALID_DENOMINATOR,29
FIN_CASH_TO_SHORT_DEBT,MISSING_REQUIRED_INPUT,1046
FIN_CASH_TO_SHORT_DEBT,NOT_APPLICABLE_SECTOR,97
FIN_CASH_TO_SHORT_DEBT,QUARANTINED_INPUT,347
FIN_CASH_TO_SHORT_DEBT,SECTOR_PROFILE_UNRESOLVED,1
FIN_CASH_TO_SHORT_DEBT,VALID,3976
FIN_CASH_TO_SHORT_DEBT,VALID_WITH_WARNING,32
FIN_CFO_MARGIN_TTM,INVALID_DENOMINATOR,2
FIN_CFO_MARGIN_TTM,MISSING_REQUIRED_INPUT,1
FIN_CFO_MARGIN_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CFO_MARGIN_TTM,QUARANTINED_INPUT,433
FIN_CFO_MARGIN_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_MARGIN_TTM,VALID,4579
FIN_CFO_MARGIN_TTM,VALID_WITH_WARNING,415
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,INVALID_DENOMINATOR,10
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,MISSING_REQUIRED_INPUT,4383
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,QUARANTINED_INPUT,433
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,VALID,547
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,VALID_WITH_WARNING,57
FIN_CFO_TO_PARENT_NI_TTM,INVALID_DENOMINATOR,1479
FIN_CFO_TO_PARENT_NI_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CFO_TO_PARENT_NI_TTM,QUARANTINED_INPUT,433
FIN_CFO_TO_PARENT_NI_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_TO_PARENT_NI_TTM,VALID,3282
FIN_CFO_TO_PARENT_NI_TTM,VALID_WITH_WARNING,236
FIN_CFO_YOY,INVALID_SIGN_TRANSITION,1492
FIN_CFO_YOY,MISSING_REQUIRED_INPUT,2
FIN_CFO_YOY,NOT_APPLICABLE_SECTOR,97
FIN_CFO_YOY,QUARANTINED_INPUT,538
FIN_CFO_YOY,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_YOY,VALID,3003
