document_class,canonical_revision_status,row_count
ANCILLARY_DISCLOSURE,NON_CANONICAL_DISCLOSURE,14691
OTHER_DISCLOSURE,NON_CANONICAL_DISCLOSURE,83
PERIODIC_REPORT_CORRECTED_FULL,LATEST_CANONICAL_REVISION,1021
PERIODIC_REPORT_CORRECTED_FULL,SUPERSEDED_CANONICAL_REVISION,77
PERIODIC_REPORT_CORRECTION_NOTICE,NON_CANONICAL_DISCLOSURE,443
PERIODIC_REPORT_FULL,LATEST_CANONICAL_REVISION,56977
PERIODIC_REPORT_FULL,SUPERSEDED_CANONICAL_REVISION,2239
REVISION_INDICATED_UNCLASSIFIED,NON_CANONICAL_DISCLOSURE,4
