stage,count,universe_ratio
01_UNIVERSE,5539,1.0
02_DATA_READY,5534,0.99909731
03_CORE_INVESTABLE,4926,0.8893302
04_WATCH_ELIGIBLE,14,0.00252753
05_RAW_SLEEVE_HITS,150,0.0270807
06_DISTINCT_SLEEVE_CANDIDATES,133,0.02401155
07_RESEARCH_LONGLIST,100,0.0180538
