factor_id,sector_profile,factor_status,valid_or_warning_count,profile_symbol_count,coverage_ratio,minimum,q001,q01,median,q99,q999,maximum,mad,peer_group_method,industry_neutral,authority,trade_authority
FIN_CFO_MARGIN_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,BANK,DIAGNOSTIC_ONLY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,GENERAL_NON_FINANCIAL,DIAGNOSTIC_ONLY,610,5104,0.1195141065830721,-1.533717212122737,-1.1886144761199149,-0.6680216501554918,0.16980638846841425,9.114602370892289,190.3435738895979,377.0425970179456,0.13911895965893942,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,INSURANCE,DIAGNOSTIC_ONLY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,SECURITIES_AND_BROKERAGE,DIAGNOSTIC_ONLY,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,UNRESOLVED,DIAGNOSTIC_ONLY,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,3490,5104,0.6837774294670846,-1270.0545712137637,-129.4434329890673,-8.533762904087148,1.4269119040082048,32.84966462634874,239.30465967274847,545.7761884835343,0.9324645798333026,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,3397,5104,0.6655564263322884,-0.998557266980254,-0.9912291678531172,-0.9436008143206719,0.027938033349000024,19.08307384974531,73.26916559187133,740.5987354648283,0.41197790117598343,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CURRENT_RATIO,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
