statement,source_item_code,source_item_name,occurrence_count
balance_sheet,004011012,拨备(流动),390
balance_sheet,004030003,股本溢价,365
cash_flow,007012,受限制存款及现金增加(减少),353
cash_flow,005013,政府补助(投资),346
cash_flow,002005,应付关联方款项增加(减少),318
cash_flow,002003,应收关联方款项(增加)减少,309
balance_sheet,004020016,职工薪酬及福利(非流动),292
balance_sheet,004002002,发展中及待售物业,275
balance_sheet,004002008,短期投资,268
balance_sheet,004020013,衍生金融工具-负债,260
balance_sheet,004020997,非流动负债其他项目,242
income_statement,004010008,折旧与摊销,238
balance_sheet,004002018,持作出售的资产(流动),229
balance_sheet,004030015,其他权益工具,225
balance_sheet,004011015,指定以公允价值记账之金融负债(流动),225
balance_sheet,004001031,其他金融资产(非流动),222
balance_sheet,004020007,可转换票据及债券,207
balance_sheet,004011021,应付债券,204
balance_sheet,004002020,贷款及垫款(流动),201
income_statement,004010009,薪金福利支出,195
balance_sheet,004002022,其他金融资产(流动),188
balance_sheet,004020018,应付票据(非流动),181
income_statement,003001999,经营收入,175
income_statement,003003999,经营收入总额,175
income_statement,003007999,经营支出总额,175
income_statement,003012999,除税后溢利,175
income_statement,003039999,全面收益总额,175
income_statement,003099000,非运算项目,175
income_statement,003040002,本公司拥有人应占全面收益总额,173
balance_sheet,003001999,非流动资产合计,171
balance_sheet,003007003,应付税项,171
balance_sheet,003025001,股本,171
balance_sheet,003025999,归属于母公司股东权益,171
balance_sheet,003033999,总权益及总负债,171
income_statement,003030997,其他全面收益其他项目,171
income_statement,003030999,其他全面收益,171
balance_sheet,003002010,现金及等价物,170
balance_sheet,003015999,非流动负债合计,170
income_statement,003007009,减值及拨备,169
balance_sheet,001001007,客户贷款及其他款项,168
balance_sheet,001002002,银行同业及其他金融机构存款(负债),168
balance_sheet,001009999,归属于母公司股东权益,168
balance_sheet,001015999,权益及负债合计,168
balance_sheet,001099001,非运算项目,168
income_statement,001003005,其他经营收入,168
income_statement,001003999,经营收入总额,168
income_statement,001012999,除税后溢利,168
income_statement,001030997,其他全面收益其他项目,168
income_statement,001030999,其他全面收益,168
income_statement,001039999,全面收益总额,168
balance_sheet,001001001,库存现金及短期资金,166
income_statement,001099000,非运算项目,166
balance_sheet,001001013,递延税项资产,164
balance_sheet,001009001,股本,164
income_statement,001005999,经营支出总额,164
balance_sheet,003001997,非流动资产其他项目,162
balance_sheet,001001005,以公允价值计量的金融资产,162
balance_sheet,001003001,非控股股东权益,162
income_statement,001010001,减值及拨备,162
income_statement,001025001,少数股东损益,162
income_statement,001040001,非控股权益应占全面收益总额,162
income_statement,001040002,本公司拥有人应占全面收益总额,162
income_statement,003002001,其他收入,161
balance_sheet,001001019,衍生金融工具-资产,161
balance_sheet,003015003,递延税项负债,160
income_statement,001002001,手续费及佣金收入,160
income_statement,001002002,手续费及佣金开支,160
balance_sheet,004011004,应付股利,159
balance_sheet,001001997,资产其他项目,158
balance_sheet,001002005,应交税项,156
balance_sheet,001002014,衍生金融工具-负债,156
cash_flow,001012,减:政府补助,155
income_statement,003015001,少数股东损益,154
income_statement,003040001,非控股权益应占全面收益总额,154
balance_sheet,003001009,递延税项资产,153
balance_sheet,003021001,非控股股东权益,152
balance_sheet,001002997,负债其他项目,150
balance_sheet,003025004,保留溢利(累计亏损),147
balance_sheet,003007006,融资租赁负债(流动),144
income_statement,001003003,交易净收益,144
balance_sheet,004011014,交易性金融负债(流动),142
balance_sheet,001001002,银行同业及其他金融机构存款(资产),142
income_statement,003001003,投资收益,138
balance_sheet,001009006,其他储备,138
income_statement,001005004,营运支出,138
balance_sheet,003002017,衍生金融工具-资产(流动),137
cash_flow,002010,应收票据(增加)减少,136
cash_flow,002011,发展中物业(增加)减少,134
balance_sheet,001009004,保留溢利(累计亏损),134
income_statement,003001001,手续费及佣金收入,132
balance_sheet,003007016,衍生金融工具-负债(流动),130
balance_sheet,003007010,银行贷款及透支,130
balance_sheet,003002024,买入返售金融资产(流动),129
income_statement,003001997,经营收入其他项目,129
balance_sheet,003002003,应收帐款,128
balance_sheet,001001008,联营公司权益,124
balance_sheet,001002009,已发行债券,124
balance_sheet,003007997,流动负债其他项目,123
balance_sheet,004001029,现金及等价物(非流动),123
income_statement,001003006,投资性证券净收益,122
balance_sheet,001001021,拆出资金,120
balance_sheet,003007019,卖出回购金融资产款,119
income_statement,004025004,永久资本证券持有人应占溢利,118
income_statement,004040004,永久资本证券持有人应占全面收益总额,118
balance_sheet,001009007,公积金,118
balance_sheet,003007018,已发行债券,117
balance_sheet,001002028,向中央银行借款,116
balance_sheet,003025009,其他储备,114
balance_sheet,001002013,指定以公允价值记账之金融负债,113
balance_sheet,004020004,应付关联方款项(非流动),111
balance_sheet,001002007,递延税项负债,111
income_statement,001011001,应占联营公司溢利,110
balance_sheet,003007021,拆入资金,109
balance_sheet,003015997,非流动负债其他项目,109
balance_sheet,003007017,职工薪酬及福利(流动),108
balance_sheet,001001022,买入返售金融资产,108
