symbol,name,shard_id,source_state,attempt_count,source_row_count,normalized_event_count,error_type,error_message,elapsed_seconds,retrieved_at,source_id,source_adapter,authority,trade_authority
001336.SZ,楚环科技,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001339.SZ,智微智能,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001356.SZ,富岭股份,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001400.SZ,江顺科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002046.SZ,国机精工,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002053.SZ,云南能投,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002063.SZ,远光软件,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002080.SZ,中材科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002119.SZ,康强电子,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002132.SZ,恒星科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002135.SZ,东南网架,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002146.SZ,荣盛发展,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002156.SZ,通富微电,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002189.SZ,中光学,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002285.SZ,世联行,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002327.SZ,富安娜,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002365.SZ,永安药业,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002378.SZ,章源钨业,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002379.SZ,宏桥控股,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002385.SZ,大北农,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002427.SZ,尤夫股份,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002438.SZ,江苏神通,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
