security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis,workload_priority_rank
300458,全志科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,40.99,121157113.0,5000999236.0,4072919.493551,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,52
300476,胜宏科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,230.01,21230436.0,4963822868.0,22605033.483813,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,53
603629,利通电子,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,108.61,43539460.0,4847215432.0,3983032.808,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,54
601869,长飞光纤,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,331.65,14294067.0,4842097277.0,27457472.90682,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,55
002463,沪电股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,112.22,42070923.0,4782409293.0,21595207.612214,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,56
301165,锐捷网络,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,132.0,35703265.0,4715166006.0,14699999.9916,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,57
600519,贵州茅台,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,1297.41,3569892.0,4622242878.0,162186836.99534,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,58
688361,中科飞测,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,357.42,13084419.0,4621535067.0,12583030.824882,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,59
002475,立讯精密,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,60.59,75736872.0,4614732731.0,46807457.978135,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,60
601318,中国平安,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,54.02,85262157.0,4598516043.0,97817482.05699,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,61
