security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis
002391,长青股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.03,5433200.0,27499873.0,326745.05265,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
920060,万源通,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,20.04,1350829.0,27495342.0,304697.504652,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002069,獐子岛,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,2.98,9169800.0,27469578.0,211911.433812,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
688315,诺禾致源,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,11.94,2267761.0,27468136.0,496942.8,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300103,达刚控股,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.37,4319300.0,27459561.0,202311.837,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
920058,华洋赛车,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,24.59,1139187.0,27439101.0,137841.97449,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002576,通达动力,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,12.91,2118300.0,27402918.0,213144.1,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300190,维尔利,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.58,7712847.0,27386972.0,339415.8799,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
688080,映翰通,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,31.97,848075.0,27380407.0,235478.654004,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
301279,金道科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,16.07,1697337.0,27360147.0,270819.253966,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
