comparison_status,reason_codes,model_treatment,comparison_count
COMPARABLE_WITH_WARNING,NON_CONSECUTIVE_FISCAL_YEAR,LOADABLE_WITH_EXPLICIT_WARNING,412
COMPARABLE_WITH_WARNING,RESTATEMENT_LATEST_ONLY_HISTORY,LOADABLE_WITH_EXPLICIT_WARNING,54533
COMPARABLE_WITH_WARNING,RESTATEMENT_LATEST_ONLY_HISTORY|NON_CONSECUTIVE_FISCAL_YEAR,LOADABLE_WITH_EXPLICIT_WARNING,12
NOT_COMPARABLE,NON_DECISION_GRADE_INPUT,BLOCK_YOY_AND_TREND,20054
NOT_COMPARABLE,NON_DECISION_GRADE_INPUT|NON_CONSECUTIVE_FISCAL_YEAR,BLOCK_YOY_AND_TREND,23
NOT_COMPARABLE,NON_DECISION_GRADE_INPUT|RESTATEMENT_LATEST_ONLY_HISTORY,BLOCK_YOY_AND_TREND,291
