source_id,source_name,source_type,owner_or_provider,period_covered,as_of_date,retrieved_at,file_tab_page_url_or_location,source_rank,freshness_status,notes,trade_authority,route_id,statement,status
SRC-CNINFO-605090,CNINFO periodic reports for 605090.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:49:20+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=77; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-605090-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 605090.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:49:35+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=31; cols=319; elapsed=14.6087; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-605090-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 605090.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:49:46+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=33; cols=203; elapsed=10.8081; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-605090-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 605090.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:49:55+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=33; cols=254; elapsed=9.0374; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-605090-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 605090.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:49:58+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=31; cols=147; elapsed=2.6711; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-605090-INCOME_STATEMENT,SINA_STATEMENTS income_statement 605090.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:49:59+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=33; cols=83; elapsed=0.9634; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-605090-CASH_FLOW,SINA_STATEMENTS cash_flow 605090.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:01+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=33; cols=71; elapsed=1.7271; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-300750,CNINFO periodic reports for 300750.SZ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:50:05+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=89; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-300750-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 300750.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:08+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=38; cols=319; elapsed=2.2352; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-300750-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 300750.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:09+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=40; cols=203; elapsed=1.8323; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-300750-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 300750.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:11+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=40; cols=254; elapsed=1.8506; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-300750-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 300750.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:13+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=38; cols=147; elapsed=1.6794; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-300750-INCOME_STATEMENT,SINA_STATEMENTS income_statement 300750.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:15+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=40; cols=83; elapsed=1.2743; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-300750-CASH_FLOW,SINA_STATEMENTS cash_flow 300750.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:16+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=40; cols=71; elapsed=1.3363; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-000333,CNINFO periodic reports for 000333.SZ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:49:20+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=73; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-000333-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 000333.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:49:40+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=78; cols=319; elapsed=20.1613; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-000333-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 000333.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:00+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=78; cols=203; elapsed=20.2772; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-000333-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 000333.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:15+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=78; cols=254; elapsed=15.4634; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-000333-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 000333.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:18+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=78; cols=147; elapsed=2.1134; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-000333-INCOME_STATEMENT,SINA_STATEMENTS income_statement 000333.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:19+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=78; cols=83; elapsed=1.3582; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-000333-CASH_FLOW,SINA_STATEMENTS cash_flow 000333.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:21+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=78; cols=71; elapsed=1.3222; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-835185,CNINFO periodic reports for 835185.BJ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:50:24+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=64; error=,NONE,,,
SRC-CNINFO-600519,CNINFO periodic reports for 600519.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:49:23+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=60; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-600519-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 600519.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:49:44+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=102; cols=319; elapsed=21.1909; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-600519-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 600519.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:11+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=102; cols=203; elapsed=26.3108; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-600519-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 600519.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:27+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=98; cols=254; elapsed=16.7938; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-600519-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 600519.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:30+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=102; cols=147; elapsed=2.5171; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-600519-INCOME_STATEMENT,SINA_STATEMENTS income_statement 600519.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:32+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=102; cols=83; elapsed=1.6096; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-600519-CASH_FLOW,SINA_STATEMENTS cash_flow 600519.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:33+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=98; cols=71; elapsed=1.4383; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-688981,CNINFO periodic reports for 688981.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:50:22+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=72; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-688981-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 688981.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:24+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=39; cols=319; elapsed=2.2388; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-688981-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 688981.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:27+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=39; cols=203; elapsed=2.3392; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-688981-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 688981.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:34+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=39; cols=254; elapsed=7.6669; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-688981-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 688981.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:37+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=42; cols=147; elapsed=1.7255; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-688981-INCOME_STATEMENT,SINA_STATEMENTS income_statement 688981.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:38+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=42; cols=83; elapsed=1.0627; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-688981-CASH_FLOW,SINA_STATEMENTS cash_flow 688981.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:50:40+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=42; cols=71; elapsed=1.984; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-000001,CNINFO periodic reports for 000001.SZ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T22:50:26+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=58; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-000001-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 000001.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:34+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=118; cols=221; elapsed=8.7217; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-000001-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 000001.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:50:53+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=121; cols=170; elapsed=18.4606; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-000001-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 000001.SZ,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T22:51:05+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=102; cols=316; elapsed=12.3264; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-000001-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 000001.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:51:09+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=119; cols=150; elapsed=3.6287; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-000001-INCOME_STATEMENT,SINA_STATEMENTS income_statement 000001.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T22:51:11+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=122; cols=94; elapsed=2.1455; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
