dimension,dimension_value,symbol_count,accepted_price_count,accepted_price_ratio,valid_capitalization_count,valid_capitalization_ratio,controlled_quarantine_count,authority,trade_authority
BOARD,BSE,328,327,0.9969512195121951,327,0.9969512195121951,1,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BOARD,CHINEXT,1398,1397,0.9992846924177397,1397,0.9992846924177397,1,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BOARD,SH_MAIN,1698,1698,1.0,1698,1.0,0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BOARD,STAR,610,609,0.9983606557377049,609,0.9983606557377049,1,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BOARD,SZ_MAIN,1493,1491,0.9986604152712659,1491,0.9986604152712659,2,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BOARD,UNKNOWN,1,1,1.0,1,1.0,0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
STATE,PRICE_UNAVAILABLE,5,0,0.0,0,0.0,5,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
STATE,VALID,5523,5523,1.0,5523,1.0,0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
