security_code,security_name,workplan_lane,workplan_priority,historical_core20,source,required_next_work,candidate_membership_mutation,trade_authority
001286,陕西能源,B_STRUCTURED_RESEARCH,36,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
300613,富瀚微,B_STRUCTURED_RESEARCH,37,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
301381,赛维时代,B_STRUCTURED_RESEARCH,38,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
300592,华凯易佰,B_STRUCTURED_RESEARCH,39,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
301215,中汽股份,B_STRUCTURED_RESEARCH,40,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
001316,润贝航科,C_WATCH_AND_EVIDENCE_FILL,41,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
002033,丽江股份,C_WATCH_AND_EVIDENCE_FILL,42,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
001210,金房能源,C_WATCH_AND_EVIDENCE_FILL,43,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300970,华绿生物,C_WATCH_AND_EVIDENCE_FILL,44,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
002780,三夫户外,C_WATCH_AND_EVIDENCE_FILL,45,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
301230,泓博医药,C_WATCH_AND_EVIDENCE_FILL,46,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300622,博士眼镜,C_WATCH_AND_EVIDENCE_FILL,47,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300797,钢研纳克,C_WATCH_AND_EVIDENCE_FILL,48,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300859,西域旅游,C_WATCH_AND_EVIDENCE_FILL,49,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
301305,朗坤科技,C_WATCH_AND_EVIDENCE_FILL,50,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300492,华图山鼎,C_WATCH_AND_EVIDENCE_FILL,51,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300143,盈康生命,C_WATCH_AND_EVIDENCE_FILL,52,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
300873,海晨股份,C_WATCH_AND_EVIDENCE_FILL,53,False,WP3_3_INDUSTRY_LONGLIST,EVIDENCE_FILL_AND_TRIGGER_MONITORING,0,NONE
601985,中国核电,CORE20_MANDATORY_REVIEW,54,True,WP3_4_HISTORICAL_CORE20_REVIEW,THESIS_REBUILD_REQUIRED_BEFORE_CANDIDATE_DECISION,0,NONE
600276,恒瑞医药,CORE20_MANDATORY_REVIEW,55,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW,0,NONE
300750,宁德时代,CORE20_MANDATORY_REVIEW,56,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW,0,NONE
600938,中国海油,CORE20_MANDATORY_REVIEW,57,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW,0,NONE
600406,国电南瑞,CORE20_MANDATORY_REVIEW,58,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW,0,NONE
600941,中国移动,CORE20_MANDATORY_REVIEW,59,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW,0,NONE
601088,中国神华,CORE20_MANDATORY_REVIEW,60,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW,0,NONE
600900,长江电力,CORE20_MANDATORY_REVIEW,61,True,WP3_4_HISTORICAL_CORE20_REVIEW,READMISSION_REVIEW_PRIORITY,0,NONE
601318,中国平安,CORE20_MANDATORY_REVIEW,62,True,WP3_4_HISTORICAL_CORE20_REVIEW,SEPARATE_PROFILE_REVIEW_REQUIRED,0,NONE
600036,招商银行,CORE20_MANDATORY_REVIEW,63,True,WP3_4_HISTORICAL_CORE20_REVIEW,SEPARATE_PROFILE_REVIEW_REQUIRED,0,NONE
600519,贵州茅台,CORE20_MANDATORY_REVIEW,64,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
601899,紫金矿业,CORE20_MANDATORY_REVIEW,65,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
600660,福耀玻璃,CORE20_MANDATORY_REVIEW,66,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
300760,迈瑞医疗,CORE20_MANDATORY_REVIEW,67,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
000333,美的集团,CORE20_MANDATORY_REVIEW,68,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
600309,万华化学,CORE20_MANDATORY_REVIEW,69,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
002371,北方华创,CORE20_MANDATORY_REVIEW,70,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
601138,工业富联,CORE20_MANDATORY_REVIEW,71,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
600690,海尔智家,CORE20_MANDATORY_REVIEW,72,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
002475,立讯精密,CORE20_MANDATORY_REVIEW,73,True,WP3_4_HISTORICAL_CORE20_REVIEW,WATCHLIST_RESEARCH_GAP,0,NONE
