security_code,security_name,exchange,market_data_readiness,eligibility_reason,last_price,volume,turnover_amount,total_market_cap,board,industry_name,listing_status,factor_record_quality,confidence_grade,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,sector_profile,financial_score,score_band,score_confidence,score_confidence_numeric,available_family_count,available_family_weight,global_factor_weight_coverage,conditional_weight_share,ranking_eligible,score_state,balance_sheet_efficiency_score,cash_earnings_quality_score,growth_momentum_score,profitability_returns_score,market_as_of_date,close,total_market_cap_cny,float_market_cap_cny,pe_ttm,pb,ps_ttm,fcf_yield_ttm,ev_sales_ttm,ev_operating_income_ttm,valuation_valid_metric_count,valuation_decision_grade_metric_count,shareholder_yield_ttm,dividend_yield_ttm,shareholder_return_state,capitalization_state,historical_longlist_rank,historical_research_priority,historical_primary_sleeve,historical_sleeves,historical_aggregate_score,historical_factor_record_quality,historical_confidence_grade,historical_factor_score,prior_research_stage,prior_graduation_decision,prior_decision_reason_codes_json,prior_formal_research_object_created,prior_research_status,prior_next_workflow,workload_priority_rank,wp3_2b_queue_member,historical_core20_name,historical_core20,industry_bucket,current_liquidity_percentile,valuation_context_state,valuation_context_score,valuation_context_notes,financial_gate_pass,financial_gate_reasons,research_risk_flags,research_priority_score,research_priority_weight_coverage,multidimensional_disposition,investment_ranking,candidate_admission_authority,trade_authority,valuation_price_ratio,valuation_price_rebase_status,current_pe_ttm,current_fcf_yield_ttm,current_shareholder_yield_ttm,current_market_cap_cny,current_turnover_cny,institutional_size_gate,deep_dive_size_gate,research_liquidity_gate,deep_dive_liquidity_gate,research_risk_penalty,research_priority_score_pre_penalty,strategy_sleeve,core20_sleeve_override_applied
002532,天山铝业,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,12.5,118137919.0,1496557217.0,5785921.76875,SZ_MAIN,C 制造业,ACTIVE,VALID,A,1462039396.35,-0.004979253112033288,-0.3557227297152068,-0.342292923752057,0.45333333333333337,-0.40935960591133,0.5778012299081919,-0.47438423645320205,GENERAL_NON_FINANCIAL,73.9331824909746,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,46.66578965638445,80.16957788518046,71.3900903847927,89.03369164068144,2026-07-17,11.99,55498561605.85,49241220849.48,9.282965133900195,1.7719219740278147,1.848623914189059,0.14402093366267493,,,5.0,5.0,0.04250732296371592,0.03753127606338615,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,95.2579185520362,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,DEEP_120D_DRAWDOWN,67.02758966884743,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.042535446205171,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,9.677820197977685,0.1381448795692378,0.040773024186796306,57859217687.5,1496557217.0,True,True,True,True,7.5,74.52758966884743,QUALITY_GROWTH,False
600517,国网英大,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4.93,28550543.0,142565464.0,2819188.821792,SH_MAIN,,ACTIVE,VALID,A,151523342.95,-0.06809338521400776,-0.24088748019017425,-0.23482428115015974,-0.04960317460317465,-0.35444743935309975,0.3134670526624909,-0.3746630727762804,GENERAL_NON_FINANCIAL,67.8452697514166,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,41.10508308199032,69.3133810084513,75.81200472726069,77.80968900363511,2026-07-17,4.79,27391307213.76,27391307213.76,11.82412563070626,1.1430494531968471,3.2411790849439805,0.09777771020086909,,,5.0,5.0,0.027974947807933196,0.027974947807933196,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,61.6289592760181,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,67.02428085168454,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0292275574112735,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,12.169715941415836,0.09500106122964766,0.027180527383367143,28191888217.92,142565464.0,True,True,True,True,1.5,68.52428085168454,QUALITY_GROWTH,False
600066,宇通客车,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,31.66,15937775.0,508321581.0,7009331.580018,SH_MAIN,,ACTIVE,VALID,A,617498562.3,0.14285714285714302,-0.12264150943396224,0.006425431180250296,0.2014533710133226,-0.17470881863560728,0.385804952192265,-0.2778702163061565,GENERAL_NON_FINANCIAL,67.74210354131564,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,95.88984375,4.0,1.0,0.96,0.078125,True,SCORE_ACCEPTED,61.36224988066395,51.45621690999014,67.7378587621554,85.57044882382156,2026-07-17,29.76,65886831276.48,65886831276.48,12.070095857964473,4.060821521890258,1.6102221554724698,0.06895799260590471,,,5.0,5.0,0.08400537634408602,0.08400537634408602,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,85.73755656108597,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.99715162197217,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0638440860215053,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,12.840700096208172,0.06481964181780557,0.07896399241945673,70093315800.18,508321581.0,True,True,True,True,1.5,68.49715162197217,QUALITY_GROWTH,False
600750,华润江中,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,24.69,3075316.0,76743253.0,1569267.485541,SH_MAIN,,ACTIVE,VALID,A,107819225.0,0.07597097737942815,-0.03888677087304615,0.14747382794720076,0.22259941804073713,-0.05545147995503941,0.3860648476838448,-0.1869614087673287,GENERAL_NON_FINANCIAL,69.05020749189077,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,62.31934717131616,55.76862672260765,55.668155549986054,95.75714163159707,2026-07-17,25.21,16023180765.69,15852685535.69,17.611452880038758,3.7124138120099643,3.9353784684810322,0.03383157332099513,,,5.0,5.0,0.055886257584367445,0.05474018246727489,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,45.97285067873303,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.99470547980516,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9793732645775486,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,17.248186101077227,0.034544105444402076,0.057063286905706896,15692674855.41,76743253.0,True,True,True,True,1.5,68.49470547980516,QUALITY_GROWTH,False
000099,中信海直,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,13.56,6615147.0,90938887.0,1051944.305772,SZ_MAIN,G 运输仓储,ACTIVE,VALID,A,163180340.15,-0.15500945179584114,-0.26480263157894735,-0.39321266968325796,-0.3662570888468809,-0.4646706586826347,0.4048790141849225,-0.38137164040778493,GENERAL_NON_FINANCIAL,68.61165953243629,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,58.51063972186937,89.31163932726678,53.58711354714699,70.61614456486329,2026-07-17,13.41,10403077537.17,10403077537.17,33.494192795827686,1.8621632206072702,4.639536377586597,0.06467302306515585,,,5.0,5.0,0.011931394481730053,0.011931394481730053,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,G 运输仓储,50.44343891402715,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.98403008302887,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0111856823266219,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,33.86884819622844,0.06395761351797492,0.011799410029498527,10519443057.72,90938887.0,True,True,True,True,1.5,68.48403008302887,DEFENSIVE_INFRA_YIELD,False
603658,安图生物,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,31.46,1896500.0,60315344.0,1797702.320128,SH_MAIN,,ACTIVE,VALID,A,89882140.55,0.05706789111183985,-0.014674411494955741,-0.09440854172520385,-0.11528959648641235,-0.21004901960784317,0.29954850166336877,-0.2262931034482758,GENERAL_NON_FINANCIAL,69.25268492985157,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,62.75769966167537,68.92105759561396,47.887892904519106,91.66302457494409,2026-07-17,32.23,18417020272.64,18417020272.64,17.801384403285404,2.0100560690051013,4.361451115960791,0.03970501916460011,,,5.0,5.0,0.040645361464474096,0.040645361464474096,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,39.457013574660635,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.93275239686908,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9761092150170649,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,17.37609535610794,0.04067682033296445,0.041640178003814365,17977023201.280003,60315344.0,True,True,True,False,1.5,68.43275239686908,QUALITY_GROWTH,False
601168,西部矿业,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,36.24,81438339.0,2971107919.0,8635992.0,SH_MAIN,,ACTIVE,VALID,A,1919880042.95,-0.0031496062992126816,0.09364201796821003,0.03296344647519578,0.862860506180106,-0.19710806697108074,0.5972707724480522,-0.3754439370877727,GENERAL_NON_FINANCIAL,67.65412488998061,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,49.825126378480725,68.5601363669868,70.40804911167541,76.49017748206303,2026-07-17,31.65,75421950000.0,75421950000.0,17.06019680022906,3.7795136010762955,1.1808873011093215,0.0007827006594234172,1.44189956555617,11.102078370518747,7.0,7.0,0.0018957345971563982,0.0018957345971563982,COMPLETE,VALID,99.0,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE,0.46047815,VALID,A,2.0,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,95.0,True,,False,GENERAL_NON_FINANCIAL,98.29864253393666,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.929821844204,1.0,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.1450236966824645,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,19.534329606328633,0.0006835672149765771,0.0016556291390728477,86359920000.0,2971107919.0,True,True,True,True,0.0,66.929821844204,QUALITY_GROWTH,False
000600,建投能源,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,8.57,51430959.0,451988433.0,1545371.860232,SZ_MAIN,D 水电煤气,ACTIVE,VALID,A,301319358.6,-0.16904276985743383,-0.10526315789473673,-0.0674285714285714,0.08366533864541825,-0.350835322195704,0.5858568365098887,-0.3850437549721559,GENERAL_NON_FINANCIAL,67.04444624999938,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,28.32480439058307,77.50201270716164,75.07733420613917,77.44882881185855,2026-07-17,8.16,14714392508.16,8894815148.16,7.233510974038946,1.0916689822818744,0.6547133785501712,0.11771291497623587,1.228028912003622,9.889273363719244,7.0,7.0,0.030312910601089003,0.02696078431372549,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,D 水电煤气,84.07239819004525,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.84697673151133,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0502450980392157,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,7.596959442097276,0.11208137528659097,0.028862701342460474,15453718602.32,451988433.0,True,True,True,True,1.5,68.34697673151133,DEFENSIVE_INFRA_YIELD,False
600007,中国国贸,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,18.86,1455202.0,27616007.0,1899734.859124,SH_MAIN,,ACTIVE,VALID,A,53023666.1,0.08870056497175138,-0.04603960396039608,0.04785209352909181,-0.010780287474332684,-0.10330386226151689,0.35349169267033,-0.19218241042345274,GENERAL_NON_FINANCIAL,69.7022179217592,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,60.40716704853756,73.49879347200712,45.0617627418559,93.26881819528643,2026-07-17,19.27,19410334430.18,19410334430.18,16.225127597525553,1.9308233992936779,5.217285535784436,0.074632037135208,,,5.0,5.0,0.05552672548002075,0.05552672548002075,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,17.520361990950224,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.83415803124537,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9787234042553191,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,15.879912116727137,0.07625447272510383,0.05673382820784729,18997348591.239998,27616007.0,True,True,True,False,1.5,68.33415803124537,QUALITY_GROWTH,False
603816,顾家家居,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,23.83,7642190.0,184084266.0,1957518.969777,SH_MAIN,,ACTIVE,VALID,A,214878741.65,0.02270703472840596,-0.2202987101154108,-0.2187074829931973,-0.0008699434536755257,-0.33555105582875333,0.3274711260243708,-0.39166907723459643,GENERAL_NON_FINANCIAL,68.05154808963228,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,61.750348342616526,67.72668709363757,58.00337651059267,80.89654173350469,2026-07-17,22.97,18868741391.43,18740771547.62,10.676980872915054,1.7022324704310168,0.9352373101881856,0.11748479724815374,,,5.0,5.0,0.060613770393519055,0.06007836308228125,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,68.16289592760181,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,66.7726205783299,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0374401393121462,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,11.076728524230115,0.1132448926894709,0.058426282246711404,19575189697.77,184084266.0,True,True,True,True,1.5,68.2726205783299,QUALITY_GROWTH,False
