security_code,security_name,historical_core20,new_research_longlist,overlap,new_longlist_rank,core20_review_disposition,proposed_route,candidate_membership_mutation,trade_authority
600690,海尔智家,True,False,False,,WATCHLIST_RESEARCH_GAP,WATCHLIST_RESEARCH_GAP,0,NONE
600900,长江电力,True,False,False,,READMISSION_REVIEW_PRIORITY,READMISSION_REVIEW_PRIORITY,0,NONE
600938,中国海油,True,False,False,,READMISSION_REVIEW,READMISSION_REVIEW,0,NONE
600941,中国移动,True,False,False,,READMISSION_REVIEW,READMISSION_REVIEW,0,NONE
601088,中国神华,True,False,False,,READMISSION_REVIEW,READMISSION_REVIEW,0,NONE
601138,工业富联,True,False,False,,WATCHLIST_RESEARCH_GAP,WATCHLIST_RESEARCH_GAP,0,NONE
601318,中国平安,True,False,False,,SEPARATE_PROFILE_REVIEW_REQUIRED,SEPARATE_PROFILE_REVIEW_REQUIRED,0,NONE
601899,紫金矿业,True,False,False,,WATCHLIST_RESEARCH_GAP,WATCHLIST_RESEARCH_GAP,0,NONE
601985,中国核电,True,False,False,,THESIS_REBUILD_REQUIRED_BEFORE_CANDIDATE_DECISION,THESIS_REBUILD_REQUIRED_BEFORE_CANDIDATE_DECISION,0,NONE
603379,三美股份,False,True,False,3.0,,NEW_RESEARCH_LONGLIST,0,NONE
603444,吉比特,False,True,False,1.0,,NEW_RESEARCH_LONGLIST,0,NONE
688002,睿创微纳,False,True,False,2.0,,NEW_RESEARCH_LONGLIST,0,NONE
688266,泽璟制药,False,True,False,9.0,,NEW_RESEARCH_LONGLIST,0,NONE
688578,艾力斯,False,True,False,5.0,,NEW_RESEARCH_LONGLIST,0,NONE
688617,惠泰医疗,False,True,False,12.0,,NEW_RESEARCH_LONGLIST,0,NONE
